name,slug,type,parent_slug,lat,lng,description,image,is_popular
India,india,country,,20.5937,78.9629,Incredible India - Land of diversity,https://images.unsplash.com/photo-1524492412937-b28074a5d7da,true
UAE,uae,country,,23.4241,53.8478,United Arab Emirates,https://images.unsplash.com/photo-1512453979798-5ea266f8880c,true
Rajasthan,rajasthan,state,india,27.0238,74.2179,Land of Kings,https://images.unsplash.com/photo-1477587458883-47145ed94245,true
Kerala,kerala,state,india,10.8505,76.2711,God's Own Country,https://images.unsplash.com/photo-1602216056096-3b40cc0c9944,true
Gujarat,gujarat,state,india,22.2587,71.1924,Vibrant Gujarat,https://images.unsplash.com/photo-1609137144813-7d9921338f24,false
Dubai,dubai,state,uae,25.2048,55.2708,City of Gold,https://images.unsplash.com/photo-1512453979798-5ea266f8880c,true
Jaipur,jaipur,city,rajasthan,26.9124336,75.7872709,The Pink City,https://images.unsplash.com/photo-1599661046289-e31897846e41,true
Udaipur,udaipur,city,rajasthan,24.5854,73.7125,City of Lakes,https://images.unsplash.com/photo-1587474260584-136574528ed5,true
Jodhpur,jodhpur,city,rajasthan,26.2389,73.0243,The Blue City,https://images.unsplash.com/photo-1609137144813-7d9921338f24,true
Jaisalmer,jaisalmer,city,rajasthan,26.9157,70.9083,The Golden City,https://images.unsplash.com/photo-1477587458883-47145ed94245,true
Bikaner,bikaner,city,rajasthan,28.0229,73.3119,Desert Jewel,https://images.unsplash.com/photo-1524492412937-b28074a5d7da,false
Pushkar,pushkar,city,rajasthan,26.4899,74.5511,Holy City,https://images.unsplash.com/photo-1602216056096-3b40cc0c9944,false
Kochi,kochi,city,kerala,9.9312,76.2673,Queen of Arabian Sea,https://images.unsplash.com/photo-1602216056096-3b40cc0c9944,false
Hawa Mahal,hawa-mahal,place,jaipur,26.9239,75.8267,Palace of Winds,https://images.unsplash.com/photo-1599661046289-e31897846e41,true
Amber Fort,amber-fort,place,jaipur,26.9855,75.8513,Historic fort palace,https://images.unsplash.com/photo-1609137144813-7d9921338f24,true
City Palace,city-palace-jaipur,place,jaipur,26.9255,75.8237,Royal palace complex,https://images.unsplash.com/photo-1599661046289-e31897846e41,false
Jantar Mantar,jantar-mantar-jaipur,place,jaipur,26.9247,75.8249,Astronomical observatory,https://images.unsplash.com/photo-1599661046289-e31897846e41,false
Jal Mahal,jal-mahal,place,jaipur,26.9530,75.8458,Water Palace,https://images.unsplash.com/photo-1599661046289-e31897846e41,false
City Palace Udaipur,city-palace-udaipur,place,udaipur,24.5761,73.6833,Royal palace complex,https://images.unsplash.com/photo-1587474260584-136574528ed5,false
Lake Pichola,lake-pichola,place,udaipur,24.5761,73.6833,Artificial lake,https://images.unsplash.com/photo-1602216056096-3b40cc0c9944,true
Mehrangarh Fort,mehrangarh-fort,place,jodhpur,26.2985,73.0187,Historic fort,https://images.unsplash.com/photo-1477587458883-47145ed94245,true
Umaid Bhawan Palace,umaid-bhawan-palace,place,jodhpur,26.2850,73.0390,Royal palace and hotel,https://images.unsplash.com/photo-1609137144813-7d9921338f24,false
Patwon Ki Haveli,patwon-ki-haveli,place,jaisalmer,26.9124,70.9124,Historic mansion,https://images.unsplash.com/photo-1477587458883-47145ed94245,false
Jaisalmer Fort,jaisalmer-fort,place,jaisalmer,26.9124,70.9124,Living fort,https://images.unsplash.com/photo-1477587458883-47145ed94245,true
